SPEC,year,month,n
AMRO,2021,05,5
AMRO,2021,06,8
AMRO,2021,07,3
AMRO,2021,11,1
AMRO,2022,01,1
AMRO,2022,04,1
AMRO,2022,05,1
AMRO,2022,06,2
AMRO,2022,11,1
AMRO,2022,12,1
AMRO,2023,01,7
AMRO,2023,02,1
AMRO,2023,03,4
AMRO,2023,04,4
AMRO,2023,05,7
AMRO,2023,06,3
AMRO,2023,07,1
AMRO,2024,01,1
AMRO,2024,03,2
AMRO,2024,04,7
AMRO,2024,05,6
AMRO,2024,06,3
AMRO,2024,07,7
AMRO,2025,03,4
AMRO,2025,04,5
AMRO,2025,05,6
AMRO,2025,06,5
AMRO,2025,07,1
AMRO,2025,08,1
AMRO,2025,12,1
ANHU,1979,01,1
ANHU,1979,07,8
ANHU,1979,08,6
ANHU,1979,09,2
ANHU,1979,11,2
ANHU,1980,01,2
ANHU,1980,03,1
ANHU,1980,04,2
ANHU,1980,05,2
ANHU,1980,06,2
ANHU,1980,09,1
ANHU,1980,12,1
ANHU,1981,05,1
ANHU,1981,06,8
ANHU,1981,07,3
ANHU,1981,10,1
ANHU,1982,06,1
ANHU,1982,07,2
ANHU,1982,10,1
ANHU,1982,12,2
ANHU,1983,01,2
ANHU,1983,02,4
ANHU,1983,03,2
ANHU,1983,04,4
ANHU,1983,05,1
ANHU,1983,06,4
ANHU,1983,07,13
ANHU,1983,08,9
ANHU,1983,09,6
ANHU,1983,10,4
ANHU,1983,11,1
ANHU,1984,01,6
ANHU,1984,02,4
ANHU,1984,03,2
ANHU,1984,04,4
ANHU,1984,05,2
ANHU,1984,06,10
ANHU,1984,07,23
ANHU,1984,08,3
ANHU,1984,09,10
ANHU,1984,10,7
ANHU,1984,11,3
ANHU,1984,12,1
ANHU,1985,01,1
ANHU,1985,02,4
ANHU,1985,03,3
ANHU,1985,04,3
ANHU,1985,05,6
ANHU,1985,06,12
ANHU,1985,07,15
ANHU,1985,08,2
ANHU,1985,09,4
ANHU,1985,10,4
ANHU,1985,11,6
ANHU,1985,12,2
ANHU,1986,01,3
ANHU,1986,02,4
ANHU,1986,03,3
ANHU,1986,04,6
ANHU,1986,05,3
ANHU,1986,06,4
ANHU,1986,07,10
ANHU,1986,10,7
ANHU,1986,11,4
ANHU,1986,12,3
ANHU,1987,01,2
ANHU,1987,04,4
ANHU,1987,05,10
ANHU,1987,06,11
ANHU,1987,07,11
ANHU,1987,09,3
ANHU,1987,10,4
ANHU,1987,11,3
ANHU,1987,12,2
ANHU,1988,01,1
ANHU,1988,04,2
ANHU,1988,05,11
ANHU,1988,06,4
ANHU,1988,07,24
ANHU,1988,08,5
ANHU,1988,09,5
ANHU,1988,10,6
ANHU,1988,11,4
ANHU,1988,12,3
ANHU,1989,01,1
ANHU,1989,02,4
ANHU,1989,03,1
ANHU,1989,05,11
ANHU,1989,06,10
ANHU,1989,07,17
ANHU,1989,08,6
ANHU,1989,09,4
ANHU,1989,10,3
ANHU,1989,11,9
ANHU,1989,12,3
ANHU,1990,02,2
ANHU,1990,03,3
ANHU,1990,05,6
ANHU,1990,06,6
ANHU,1990,07,11
ANHU,1990,08,7
ANHU,1990,09,10
ANHU,1990,10,13
ANHU,1990,11,3
ANHU,1990,12,5
ANHU,1991,01,8
ANHU,1991,02,2
ANHU,1991,03,1
ANHU,1991,04,3
ANHU,1991,05,2
ANHU,1991,06,8
ANHU,1991,07,14
ANHU,1991,08,8
ANHU,1991,09,2
ANHU,1991,10,9
ANHU,1991,11,6
ANHU,1991,12,4
ANHU,1992,01,1
ANHU,1992,04,1
ANHU,1992,05,2
ANHU,1992,07,4
ANHU,1992,08,5
ANHU,1992,09,1
ANHU,1992,10,1
ANHU,1992,11,3
ANHU,1992,12,4
ANHU,1993,01,7
ANHU,1993,02,1
ANHU,1993,03,2
ANHU,1993,04,1
ANHU,1993,05,2
ANHU,1993,06,2
ANHU,1993,07,11
ANHU,1993,08,6
ANHU,1993,09,2
ANHU,1993,10,2
ANHU,1993,12,2
ANHU,1994,01,2
ANHU,1994,03,1
ANHU,1994,05,7
ANHU,1994,06,5
ANHU,1994,07,1
ANHU,1994,08,5
ANHU,1994,09,3
ANHU,1994,10,6
ANHU,1994,12,3
ANHU,1995,01,4
ANHU,1995,02,1
ANHU,1995,03,3
ANHU,1995,04,1
ANHU,1995,06,3
ANHU,1995,07,3
ANHU,1995,08,12
ANHU,1995,09,5
ANHU,1995,10,2
ANHU,1995,11,2
ANHU,1995,12,2
ANHU,1996,01,1
ANHU,1996,02,2
ANHU,1996,03,1
ANHU,1996,04,2
ANHU,1996,05,4
ANHU,1996,06,5
ANHU,1996,07,1
ANHU,1996,08,6
ANHU,1996,09,5
ANHU,1996,10,5
ANHU,1996,11,3
ANHU,1996,12,4
ANHU,1997,01,3
ANHU,1997,02,3
ANHU,1997,04,3
ANHU,1997,05,7
ANHU,1997,07,5
ANHU,1997,08,1
ANHU,1997,09,1
ANHU,1997,10,2
ANHU,1997,11,3
ANHU,1997,12,3
ANHU,1998,01,1
ANHU,1998,02,4
ANHU,1998,03,1
ANHU,1998,04,3
ANHU,1998,05,9
ANHU,1998,06,3
ANHU,1998,07,18
ANHU,1998,08,16
ANHU,1998,09,4
ANHU,1998,10,5
ANHU,1998,12,5
ANHU,1999,01,2
ANHU,1999,02,4
ANHU,1999,03,2
ANHU,1999,04,5
ANHU,1999,05,3
ANHU,1999,06,7
ANHU,1999,07,6
ANHU,1999,08,4
ANHU,1999,09,3
ANHU,1999,11,4
ANHU,1999,12,2
ANHU,2000,02,1
ANHU,2000,03,3
ANHU,2000,04,3
ANHU,2000,05,5
ANHU,2000,06,8
ANHU,2000,07,2
ANHU,2000,08,3
ANHU,2000,09,2
ANHU,2000,10,5
ANHU,2000,11,4
ANHU,2000,12,2
ANHU,2001,01,1
ANHU,2001,02,3
ANHU,2001,04,2
ANHU,2001,05,1
ANHU,2001,06,6
ANHU,2001,07,2
ANHU,2001,08,2
ANHU,2001,10,1
ANHU,2001,11,6
ANHU,2001,12,2
ANHU,2002,01,2
ANHU,2002,02,3
ANHU,2002,03,4
ANHU,2002,05,7
ANHU,2002,06,6
ANHU,2002,07,11
ANHU,2002,08,3
ANHU,2002,09,5
ANHU,2002,10,2
ANHU,2002,11,9
ANHU,2002,12,2
ANHU,2003,01,3
ANHU,2003,02,3
ANHU,2003,03,6
ANHU,2003,04,2
ANHU,2003,05,8
ANHU,2003,06,12
ANHU,2003,07,13
ANHU,2003,08,10
ANHU,2003,09,3
ANHU,2003,10,3
ANHU,2003,11,1
ANHU,2003,12,3
ANHU,2004,01,2
ANHU,2004,02,1
ANHU,2004,03,4
ANHU,2004,04,4
ANHU,2004,05,1
ANHU,2004,06,7
ANHU,2004,07,6
ANHU,2004,08,3
ANHU,2004,09,1
ANHU,2004,11,2
ANHU,2004,12,1
ANHU,2005,01,5
ANHU,2005,02,5
ANHU,2005,03,4
ANHU,2005,04,1
ANHU,2005,05,2
ANHU,2005,06,1
ANHU,2005,07,5
ANHU,2005,08,8
ANHU,2005,09,7
ANHU,2005,10,4
ANHU,2005,11,2
ANHU,2005,12,3
ANHU,2006,01,3
ANHU,2006,02,2
ANHU,2006,03,3
ANHU,2006,04,2
ANHU,2006,05,7
